,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,STUDENT ID
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,0,1,1,0,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,30
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15,31
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,32
33,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,0,0,0,1,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,33
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,0,1,0,0,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12,34
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,0,1,0,1,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11,35
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,36
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13,37
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,1,1,0,1,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12,38
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,1,1,0,1,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12,39
40,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,0,1,0,1,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10,40
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,0,1,0,0,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11,41
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,0,1,0,1,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15,42
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,1,1,0,0,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,43
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,1,0,0,1,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11,44
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,1,1,1,1,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,45
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,0,1,0,0,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13,46
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17,47
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,0,1,0,0,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13,48
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,1,1,0,1,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12,49
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,0,1,0,0,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13,50
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,0,1,0,0,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16,51
52,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,0,0,0,0,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9,52
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,1,1,0,0,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12,53
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,0,0,0,0,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13,54
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,0,0,0,1,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,55
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,0,1,0,1,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15,56
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16,57
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,1,1,0,1,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14,58
59,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,0,1,1,0,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16,59
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16,60
61,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,1,1,0,1,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,61
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,1,0,0,1,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10,62
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,1,1,0,1,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,63
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,1,0,0,1,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,64
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,65
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,66
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,1,1,0,0,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10,67
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,1,1,0,0,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11,68
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,0,1,0,0,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15,69
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,0,1,0,0,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11,70
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,0,0,0,0,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10,71
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,1,1,0,0,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11,72
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,73
74,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,1,1,0,1,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11,74
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,0,1,0,1,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,75
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11,76
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,0,0,0,0,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,77
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,1,1,0,1,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,78
79,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,0,1,0,0,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11,79
80,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,1,1,0,1,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12,80
81,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,1,0,0,0,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9,81
82,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,0,1,0,0,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11,82
83,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,0,0,1,1,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13,83
84,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,0,1,0,1,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12,84
85,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,0,0,0,0,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12,85
86,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11,86
87,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15,87
88,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,0,0,0,1,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11,88
89,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10,89
90,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,0,1,0,0,yes,yes,yes,yes,4,3,3,1,3,4,2,9,11,11,90
91,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,0,0,0,1,yes,yes,yes,no,4,5,5,1,3,1,6,14,13,13,91
92,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,1,1,0,0,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12,92
93,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,0,1,0,1,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14,93
94,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,yes,yes,yes,no,4,3,4,1,1,4,2,11,12,12,94
95,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,1,1,1,1,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13,95
96,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,1,1,1,1,no,yes,yes,no,3,3,3,1,1,4,6,9,11,11,96
97,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,0,1,0,0,yes,yes,no,yes,4,3,5,1,1,5,0,13,12,12,97
98,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13,98
99,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,1,1,0,0,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,13,99
100,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,1,1,0,1,yes,yes,yes,no,4,5,5,5,5,4,12,9,9,8,100
101,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,0,1,0,1,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16,101
102,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,0,1,1,1,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12,102
103,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,1,1,0,0,yes,yes,yes,no,4,3,5,1,1,2,16,11,10,10,103
104,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,0,1,0,1,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16,104
105,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,1,0,0,0,yes,yes,no,no,4,3,3,1,1,4,10,10,10,10,105
106,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,1,1,0,0,yes,yes,yes,no,5,1,2,1,1,3,4,10,10,10,106
107,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,0,1,0,1,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14,107
108,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,0,1,0,1,yes,yes,yes,yes,1,3,5,3,5,1,8,12,10,11,108
109,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,0,1,0,1,yes,yes,yes,yes,5,4,5,1,1,4,2,15,15,14,109
110,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,yes,yes,yes,no,5,5,3,1,1,4,4,13,14,14,110
111,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,0,1,1,0,1,yes,yes,yes,no,4,1,2,1,1,2,4,11,11,11,111
112,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,1,0,0,1,yes,yes,yes,no,3,1,2,1,1,5,12,8,10,10,112
113,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,0,0,0,0,yes,yes,yes,no,3,5,2,1,1,3,10,18,17,18,113
114,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,0,0,0,1,yes,yes,yes,yes,5,4,2,1,1,5,4,10,9,10,114
115,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,yes,yes,yes,no,5,4,4,1,2,5,6,16,14,14,115
116,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,0,1,0,1,yes,yes,no,no,4,4,3,1,1,2,4,16,15,16,116
117,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,0,0,0,1,yes,yes,yes,no,5,4,2,1,1,5,6,14,14,15,117
118,GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,0,1,0,1,yes,yes,yes,no,5,2,4,1,4,5,14,12,11,11,118
119,GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,0,0,0,0,yes,yes,yes,no,3,4,3,1,2,4,2,14,13,14,119
120,GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,0,0,0,0,no,yes,yes,no,3,2,3,1,2,1,0,14,14,14,120
121,GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,0,1,0,1,yes,yes,yes,no,5,5,4,1,2,5,6,14,13,13,121
122,GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,0,1,0,1,yes,yes,yes,yes,4,2,2,1,2,5,2,14,12,13,122
123,GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,0,1,0,1,yes,yes,yes,no,3,4,4,1,4,5,4,12,13,13,123
124,GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,0,0,0,0,yes,yes,yes,yes,5,4,4,1,1,5,0,12,11,11,124
125,GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,1,0,0,0,yes,yes,yes,no,5,5,5,3,2,5,2,9,9,9,125
126,GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,1,0,0,1,yes,yes,yes,yes,5,3,2,1,1,1,0,10,11,11,126
127,GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,2,0,1,0,0,no,no,no,no,3,4,2,1,1,5,0,9,10,11,127
128,GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,yes,yes,yes,no,3,5,5,2,5,4,8,14,14,15,128
129,GP,M,16,U,GT3,T,2,3,other,other,course,mother,2,3,0,0,1,0,0,no,yes,yes,yes,3,2,3,2,2,1,4,13,12,13,129
130,GP,F,15,R,GT3,T,3,4,services,teacher,course,father,2,3,0,0,1,0,0,yes,yes,yes,yes,4,2,2,2,2,5,0,10,11,12,130
131,GP,F,18,U,GT3,T,2,1,services,other,reputation,mother,1,2,3,0,1,0,1,yes,no,yes,yes,5,4,5,1,3,5,10,10,9,8,131
132,GP,F,17,U,LE3,A,2,1,other,other,course,mother,3,1,0,0,1,0,0,yes,yes,yes,no,3,2,2,1,2,5,8,11,10,11,132
133,GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,0,1,0,1,no,yes,yes,yes,4,3,3,1,2,4,6,11,12,13,133
134,GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,0,1,0,0,yes,yes,yes,yes,3,4,4,1,3,5,2,13,12,12,134
135,GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,0,0,0,0,yes,yes,yes,no,3,2,1,1,4,5,12,15,13,14,135
136,GP,M,16,U,GT3,T,2,1,at_home,other,course,mother,4,1,0,0,0,0,0,yes,yes,no,no,3,2,1,1,1,2,4,9,9,11,136
137,GP,F,16,U,GT3,A,2,2,other,other,home,mother,1,1,1,0,0,0,0,yes,yes,no,no,5,3,4,1,1,5,12,13,11,11,137
138,GP,M,15,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,0,1,0,0,yes,yes,no,yes,5,3,3,1,1,5,2,12,11,11,138
139,GP,F,15,U,GT3,T,4,4,services,at_home,course,mother,1,3,0,0,1,0,1,yes,yes,yes,yes,4,3,3,1,1,5,4,13,14,15,139
140,GP,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,0,0,0,0,yes,yes,no,no,5,4,5,2,4,5,2,10,9,10,140
141,GP,F,16,R,GT3,T,1,1,at_home,other,course,mother,4,2,0,0,1,0,0,yes,yes,no,no,5,1,3,1,1,3,0,14,13,13,141
142,GP,M,18,U,LE3,T,3,1,services,services,course,mother,2,1,0,0,0,0,1,yes,yes,yes,yes,3,3,4,4,5,4,2,11,11,12,142
143,GP,F,18,U,GT3,A,3,2,other,services,course,other,1,3,0,0,1,0,1,no,yes,yes,yes,4,3,3,5,1,5,10,12,11,11,143
144,GP,F,16,R,GT3,T,1,1,other,services,reputation,mother,2,1,0,0,1,0,1,yes,yes,no,yes,3,3,3,1,2,1,8,12,11,11,144
145,GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,0,0,1,0,1,no,yes,yes,yes,4,3,2,1,1,5,4,9,9,10,145
146,GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,2,0,0,0,0,yes,yes,no,yes,4,4,4,1,3,5,0,10,10,10,146
147,GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,0,0,0,1,yes,yes,yes,no,4,3,2,1,1,5,6,13,14,14,147
148,GP,F,15,R,GT3,T,1,1,other,other,course,mother,3,1,1,0,0,0,1,yes,yes,yes,yes,5,5,5,1,1,1,2,8,9,9,148
149,GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,1,1,0,0,yes,yes,yes,no,2,2,2,1,1,3,6,9,11,11,149
150,GP,F,15,U,GT3,A,3,3,services,services,home,mother,1,2,0,0,0,0,0,no,yes,no,yes,1,3,2,2,3,1,24,9,8,9,150
151,GP,M,16,U,GT3,T,4,4,services,services,course,mother,1,3,0,0,1,0,1,yes,yes,yes,no,5,3,3,1,3,5,0,15,13,13,151
152,GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,0,0,1,0,1,yes,yes,yes,no,2,3,3,2,2,2,4,12,11,11,152
153,GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,0,1,0,1,yes,yes,yes,no,4,2,2,1,1,5,2,13,13,13,153
154,GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,0,0,0,0,yes,yes,yes,no,3,4,4,3,3,1,4,10,11,11,154
155,GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,0,0,1,0,0,yes,yes,yes,no,5,4,5,1,2,5,22,9,7,6,155
156,GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,0,1,0,0,yes,yes,yes,no,4,4,2,1,2,5,0,12,12,12,156
157,GP,F,15,U,LE3,A,2,1,at_home,other,home,mother,2,1,0,0,1,0,1,yes,no,yes,yes,4,4,2,1,1,5,0,11,10,10,157
158,GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,1,0,1,0,0,yes,yes,yes,no,3,3,2,1,1,3,2,11,11,11,158
159,GP,F,15,U,GT3,T,1,2,at_home,other,course,mother,1,2,0,0,1,0,0,no,yes,yes,no,4,3,2,1,1,5,6,13,12,13,159
160,GP,F,15,U,GT3,T,1,2,at_home,services,course,father,1,2,0,0,0,0,0,no,yes,no,yes,2,3,4,2,4,1,6,11,11,11,160
161,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,0,1,0,0,yes,no,yes,yes,3,3,2,2,1,5,16,9,9,8,161
162,GP,M,15,U,LE3,A,2,1,services,other,course,mother,4,1,0,0,0,0,0,yes,yes,yes,no,4,5,5,2,5,5,0,12,11,11,162
163,GP,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,2,0,0,0,0,yes,no,yes,yes,2,3,5,2,5,4,0,11,9,0,163
164,GP,M,16,U,LE3,T,2,1,at_home,other,course,mother,1,1,1,0,0,0,1,yes,yes,no,yes,4,4,4,3,5,5,6,9,10,10,164
165,GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,0,0,1,1,1,yes,yes,yes,yes,4,2,1,2,3,3,2,13,13,13,165
166,GP,M,19,U,GT3,T,3,2,services,at_home,home,mother,1,1,0,0,1,0,0,yes,no,yes,yes,4,5,4,1,1,4,6,11,9,11,166
167,GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,1,1,0,0,yes,yes,no,yes,4,2,1,1,1,4,0,13,13,13,167
168,GP,M,15,R,GT3,T,2,3,at_home,services,course,mother,1,2,0,1,0,1,1,yes,yes,no,no,4,4,4,1,1,1,0,7,8,8,168
169,GP,M,17,R,LE3,T,1,2,other,other,reputation,mother,1,1,3,0,0,0,0,yes,yes,no,no,2,2,2,3,3,5,14,9,8,10,169
170,GP,F,18,R,GT3,T,1,1,at_home,other,course,mother,3,1,3,0,1,0,1,no,yes,no,no,5,2,5,1,5,4,6,11,10,11,170
171,GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,3,1,0,0,0,0,0,no,yes,no,no,4,2,2,1,2,3,4,12,10,11,171
172,GP,M,16,U,GT3,T,3,3,other,services,course,father,1,2,1,0,1,0,0,yes,yes,yes,yes,4,5,5,4,4,5,0,10,10,1,172
173,GP,M,16,U,LE3,T,1,2,health,services,course,mother,2,1,2,0,0,0,0,no,yes,yes,no,4,4,5,3,5,5,0,9,8,10,173
174,GP,M,17,R,LE3,T,2,1,at_home,other,course,mother,2,1,1,0,0,1,1,yes,no,yes,yes,3,3,2,2,2,5,8,8,8,9,174
175,GP,M,17,R,GT3,T,3,2,other,other,course,mother,2,2,2,1,1,0,0,yes,yes,yes,yes,4,4,4,1,4,3,4,7,6,8,175
