num_clicks,previous_grade,homework_score,exam_grade
335,8.89,73.89,1.54
4592,5.45,2.92,7.93
895,2.04,54.12,9.15
3546,2.55,5.29,1.7
851,2.96,70.11,8.17
1687,5.94,5.57,9.33
1931,0.33,91.17,9.38
3746,6.36,70.21,9.14
2427,3.64,50.74,5.46
1568,2.95,44.15,3.56
4000,8.79,13.07,0.07
2738,4.6,29.1,0.61
3498,0.95,86.9,4.29
3913,8.27,90.45,3.99
1066,0.48,0.07,1.85
4380,7.27,59.41,3.95
2444,7.74,71.93,1.75
4107,3.53,61.87,8.49
3373,8.25,8.17,2.98
3969,5.16,21.77,5.99
2546,4.63,25.03,5.03
753,0.45,83.17,0.52
2082,2.9,46.32,9.42
2774,9.31,48.68,5.27
2896,3.92,93.49,3.25
4185,5.47,63.71,1.58
775,5.32,89.87,3.39
1625,5.9,45.65,0.21
3069,0.61,14.94,3.64
417,3.62,92.99,5.31
114,7.23,45.87,8.72
616,2.01,18.16,6.87
3974,2.04,30.24,1.12
3267,0.1,5.08,1.48
825,4.37,46.83,4.28
1516,8.83,85.31,1.96
3146,0.52,93.36,0.28
412,1.91,93.26,8.05
728,3.1,12.52,0.2
3348,7.32,38.21,8.31
2808,6.41,2.82,1.44
675,4.16,85.52,9.75
3465,7.59,35.88,6.04
2504,6.1,63.11,7.35
2967,8.96,71.49,1.1
2786,8.18,42.98,8.62
1122,2.53,30.64,8.39
4079,2.71,96.22,6.53
1571,1.25,96.45,5.02
2143,3.37,28.94,7.21
1687,10.0,47.96,0.06
4132,4.06,97.28,5.92
3851,2.2,0.49,8.47
3440,7.62,41.27,3.57
3766,5.42,10.05,1.08
2326,1.5,50.92,4.21
2914,3.81,2.47,7.27
4968,4.14,40.69,1.07
3952,7.54,22.07,2.06
595,0.21,53.33,1.48
728,2.69,99.6,7.97
1365,5.18,80.05,0.63
4492,2.69,84.56,6.87
698,6.28,63.53,3.66
395,4.82,4.16,7.56
4171,3.62,20.68,9.64
4360,9.49,92.51,1.15
2502,6.32,36.61,3.14
1819,1.3,10.36,8.1
717,5.6,70.24,2.66
2782,7.81,29.95,2.15
4946,7.08,26.89,8.25
3577,1.72,99.8,9.87
143,9.72,85.81,5.57
4980,4.49,40.79,2.78
3140,1.59,98.03,3.99
4491,1.8,65.01,1.7
2938,0.98,74.2,7.62
3636,8.04,3.15,7.73
3222,1.22,12.16,8.75
1167,1.25,63.31,0.27
2616,8.5,89.9,5.62
1062,3.45,62.37,2.14
2156,0.31,13.4,3.41
2982,0.52,11.58,7.85
3294,1.42,84.42,1.92
4729,2.13,13.93,6.38
1156,6.65,52.02,6.55
732,1.57,3.71,9.54
4330,1.19,8.07,7.75
4846,7.65,67.23,8.04
953,6.71,68.92,5.32
2539,4.35,34.15,1.87
3324,5.49,21.56,4.26
3301,3.12,81.37,5.49
1542,4.83,21.71,6.78
1191,5.07,54.2,6.08
2993,3.87,96.82,3.94
2681,9.07,14.79,2.65
1217,0.16,94.09,1.68
1540,7.82,18.29,6.94
3236,1.24,56.74,6.45
2386,7.98,37.7,6.87
3719,6.16,96.49,3.73
1388,8.43,27.35,2.62
1856,0.98,39.97,7.6
1365,5.59,98.29,7.74
499,5.01,53.65,4.56
1680,7.06,50.26,6.12
510,5.34,25.78,3.74
4312,5.41,70.14,7.02
1324,4.3,1.44,8.36
1155,3.09,4.95,6.88
1827,4.82,59.94,5.13
3141,1.18,34.17,4.59
3486,9.62,95.33,6.42
1810,7.14,90.32,6.8
2923,9.52,71.37,5.59
2214,2.27,81.81,6.25
4186,8.79,66.73,0.97
713,8.09,12.56,9.52
3602,6.77,76.55,7.91
4134,6.25,21.02,3.74
3522,3.17,32.34,5.63
4268,8.16,81.92,0.47
4748,5.02,53.65,0.41
4849,0.71,85.99,2.51
1243,3.13,21.3,6.9
3709,9.35,60.78,8.52
1081,8.51,8.38,5.59
455,9.82,64.31,5.32
4924,6.28,76.25,4.02
894,2.48,58.49,1.62
1384,1.63,26.62,1.18
1958,1.87,3.13,7.61
3072,0.2,11.94,9.28
1996,3.91,62.23,4.58
4285,1.91,93.44,6.59
504,4.12,20.65,9.14
1214,9.35,73.5,0.9
1531,4.31,86.65,7.7
3440,8.78,52.09,6.17
823,6.06,66.93,5.99
928,2.47,81.5,2.93
133,3.56,26.07,6.84
2105,0.84,29.69,7.95
3627,3.33,0.06,1.13
4780,6.78,96.31,5.34
1852,0.72,91.75,1.01
4910,2.05,76.46,8.73
4175,3.81,7.91,5.08
2933,9.82,44.75,8.08
3284,7.85,10.19,3.68
4298,7.33,1.59,1.25
2811,1.16,61.62,0.41
1250,7.81,96.08,2.82
3512,7.85,90.29,2.44
1256,6.01,69.68,5.6
3376,9.9,9.66,0.22
3486,3.25,27.42,5.21
3584,9.41,32.01,3.92
1396,9.15,76.32,5.77
3637,0.11,80.22,7.02
3330,4.5,38.51,6.34
2703,9.77,41.79,9.85
470,1.03,4.45,1.38
1353,5.48,28.91,4.3
2783,9.79,45.13,4.25
2831,5.55,11.7,4.17
357,1.9,45.33,6.64
3019,5.82,85.32,4.9
667,2.04,58.13,5.17
4468,5.2,7.89,4.32
1145,0.74,19.17,9.92
4185,6.05,47.45,9.28
3719,5.17,36.15,3.08
2745,7.4,35.87,1.12
539,6.31,52.93,8.4
2779,5.5,58.44,9.97
4964,6.9,79.69,2.93
4136,1.44,34.1,3.58
4835,5.95,80.55,9.42
3775,1.72,33.86,7.11
2508,9.26,5.54,2.96
2779,0.68,55.42,5.81
924,4.3,58.79,9.44
2956,6.96,93.45,8.12
1581,4.58,72.61,7.42
3324,0.92,91.78,7.37
4485,5.53,90.83,1.78
255,6.42,60.46,8.25
4804,7.04,52.78,2.76
1838,3.73,55.74,9.3
1944,5.64,97.83,3.65
9,4.51,77.32,8.58
2871,6.72,10.63,2.66
797,5.84,77.84,5.15
4972,5.26,17.05,1.07
1015,2.5,44.74,6.6
1824,0.02,21.05,8.36
4469,1.74,68.96,7.18
3136,1.17,87.73,5.23
2193,4.49,29.04,0.45
223,6.12,8.2,9.33
4948,2.13,29.85,7.05
4158,9.39,67.24,7.46
3925,0.07,32.88,7.95
4784,7.72,27.81,7.48
4000,6.25,18.44,4.41
1633,3.74,49.75,7.34
2152,0.5,27.59,6.25
510,6.27,73.1,8.54
384,3.86,7.66,8.02
404,9.36,66.4,0.41
4613,5.42,23.76,3.79
4571,9.4,48.93,0.35
2000,2.2,28.61,1.02
2756,7.26,72.28,6.01
1668,6.17,94.53,8.74
1460,7.39,91.71,1.2
3636,2.15,58.34,4.51
2724,6.65,46.26,9.11
4809,4.98,81.83,8.14
4178,7.43,68.33,5.2
2048,3.27,18.36,7.72
4146,8.9,82.09,5.23
4780,0.84,42.89,1.58
716,8.07,18.9,1.25
4544,8.61,28.18,1.88
4976,8.17,26.75,3.51
4583,5.13,51.92,9.31
1823,4.38,23.44,8.0
2081,9.96,12.36,4.33
3419,2.29,12.37,4.93
1574,5.47,58.33,2.66
249,6.71,73.48,7.04
673,7.01,32.15,8.03
4533,2.04,3.47,2.39
2165,6.54,12.72,0.42
770,8.18,91.47,6.24
3962,0.5,49.35,5.63
4363,9.12,45.36,4.02
1984,0.3,3.8,6.44
1077,3.56,72.86,5.51
235,0.16,52.81,2.51
388,0.77,20.21,3.98
3037,9.11,11.01,4.28
4858,3.55,38.34,8.8
1848,4.25,83.72,9.61
4719,2.15,86.53,8.93
2814,5.97,60.28,7.19
3374,5.95,72.75,5.85
3278,3.72,11.52,6.89
1252,3.33,58.81,9.39
3981,8.85,66.7,2.5
4673,3.83,20.07,5.35
2122,4.94,88.02,6.9
4530,2.83,19.5,6.79
2150,7.87,31.35,2.52
4859,3.97,62.06,5.87
1329,5.14,63.84,7.96
1358,2.53,69.94,4.75
2482,9.88,11.2,7.93
4542,2.91,84.95,3.6
2017,7.71,53.28,9.39
1331,4.27,47.13,5.34
4344,2.06,98.11,5.96
4261,8.0,74.04,0.31
1358,3.34,11.8,1.7
4637,8.65,75.65,6.33
4854,9.15,9.52,4.2
3177,8.6,2.75,5.08
2128,0.35,40.36,0.63
2180,7.87,99.36,8.34
4892,4.11,17.49,7.85
137,8.74,67.26,1.85
3472,6.38,17.34,6.34
2832,8.34,72.48,8.18
3579,4.99,50.54,6.41
3031,5.35,68.0,3.1
4164,1.44,20.29,6.56
2593,7.84,74.56,2.1
4300,4.19,99.56,3.18
3818,5.0,66.57,2.4
4138,7.85,49.35,5.57
3823,5.99,92.32,1.08
4042,2.01,1.59,9.33
1906,5.9,72.99,3.34
760,4.08,88.87,2.19
3445,4.7,6.17,4.97
899,0.28,45.01,2.77
4455,2.1,20.47,5.35
2947,2.81,56.65,3.49
1719,7.13,64.95,1.32
280,0.11,30.26,2.66
3266,4.09,46.0,4.38
1887,9.24,27.93,0.3
3266,1.12,36.94,7.71
666,5.16,15.95,6.22
4188,7.87,88.56,6.01
671,9.43,1.0,5.46
1969,7.47,88.24,5.9
4156,7.21,57.17,9.35
3122,8.26,33.17,0.09
4699,4.46,72.31,0.48
4777,8.06,50.78,1.91
3900,0.08,49.91,1.67
523,9.25,11.01,1.81
2393,4.43,38.95,6.72
3117,5.53,24.11,4.59
2593,2.55,1.57,9.92
1968,7.43,36.01,2.27
1753,0.77,8.98,3.11
2296,8.73,25.68,9.84
2261,8.28,9.25,8.32
2286,2.16,10.09,4.7
4202,8.09,19.9,5.55
2878,7.86,99.98,8.43
4143,6.32,0.22,4.81
3644,3.74,63.87,2.06
4432,2.71,14.12,8.28
2055,2.32,92.06,5.38
4720,3.19,9.36,1.53
1276,9.04,95.51,5.06
2766,0.78,61.09,4.13
302,8.29,0.13,8.77
638,3.49,89.4,1.26
55,5.22,52.17,8.75
4821,7.94,26.27,5.12
525,8.84,76.73,4.04
4569,3.45,92.67,1.62
4123,4.62,48.37,7.01
2125,4.15,31.56,9.27
3287,0.13,78.89,3.75
364,2.96,68.18,2.42
4621,4.59,88.88,5.55
4978,4.11,69.25,7.96
1646,7.22,24.35,0.04
918,3.85,93.17,6.31
2797,4.89,10.48,5.97
1531,4.3,26.79,3.18
3345,7.41,52.02,4.51
1906,8.63,56.57,2.47
3086,5.32,1.53,7.9
4580,7.89,78.06,6.35
2075,2.97,36.16,5.33
713,5.41,40.64,3.93
1062,3.45,80.94,2.91
1976,4.14,37.93,8.23
1296,7.32,4.72,4.51
125,8.82,17.64,5.01
4632,1.21,95.59,5.21
3596,6.35,7.04,4.48
3283,5.82,35.49,2.56
1603,1.18,50.32,1.2
66,2.12,49.33,0.99
232,3.11,0.4,7.57
2156,1.67,50.12,2.24
1169,2.44,38.38,0.56
2158,2.68,97.21,7.98
4206,3.36,15.92,1.54
1493,7.49,35.42,6.25
4718,5.72,41.95,3.39
4007,9.86,39.07,1.26
2472,4.15,66.58,4.14
2660,7.54,21.55,0.15
2739,8.71,22.11,8.41
1761,6.79,72.92,5.13
3514,4.12,50.03,1.39
1975,7.54,41.52,2.37
2362,2.04,16.92,4.48
876,3.28,18.75,1.89
3812,5.47,1.06,2.69
3448,5.75,9.14,5.34
1312,0.22,55.68,8.33
1460,9.45,89.19,4.02
2709,6.97,28.72,7.17
2324,4.96,32.77,8.77
1733,9.33,11.56,2.16
1605,4.39,38.86,8.07
2563,9.8,3.72,7.57
3421,5.12,91.76,3.57
3517,1.14,67.31,9.9
2397,7.65,99.07,2.63
3735,6.79,88.28,2.55
2870,7.73,47.3,7.72
1160,9.51,51.97,4.35
4854,7.76,19.06,3.31
242,6.11,46.2,1.79
2590,8.57,90.3,7.65
1063,6.73,5.09,7.86
4324,4.08,86.36,5.67
2595,8.86,34.09,9.57
919,2.22,89.95,3.18
5,7.15,94.09,2.2
467,8.82,67.09,6.77
4170,7.31,66.44,7.58
3,6.97,45.28,2.25
645,7.53,83.55,0.77
117,4.65,96.16,8.11
2928,8.74,77.51,9.77
2551,2.03,62.19,6.45
4289,1.27,60.68,2.78
846,2.86,84.95,9.97
2762,5.32,54.12,8.93
1141,5.11,80.39,5.13
1810,8.21,50.89,8.25
723,4.05,6.24,8.16
224,4.84,38.39,9.35
4627,0.13,44.44,8.41
4208,4.1,14.16,6.44
4654,6.48,10.25,6.09
2048,0.16,53.55,4.67
4749,2.81,8.51,6.26
4415,2.08,30.29,7.95
1573,0.42,74.46,9.69
1828,4.79,96.44,4.67
1917,1.82,71.79,5.74
4234,7.43,99.26,4.45
2026,8.48,69.83,6.68
3744,5.46,29.38,6.3
901,9.82,67.21,0.18
4785,4.5,70.22,5.41
2039,5.13,37.17,0.88
9,9.89,1.77,0.26
260,2.32,70.32,7.91
1673,9.43,2.17,2.59
2219,0.43,63.12,3.41
2060,4.46,16.36,0.64
3713,0.7,56.56,1.8
1619,7.29,50.39,7.66
320,6.08,1.35,4.94
1342,7.07,36.29,8.81
2376,3.74,60.11,3.97
2832,3.69,84.86,2.69
2824,0.45,88.86,3.48
1994,3.5,48.38,7.13
2958,9.29,72.84,5.55
2038,3.79,31.65,9.04
3490,8.31,34.22,6.02
3677,8.42,19.45,4.93
1118,3.73,56.19,7.86
1604,6.32,31.46,9.48
4027,0.95,8.44,3.56
235,1.04,68.5,2.5
1969,0.49,70.78,6.16
4429,5.81,36.0,4.99
1908,4.26,7.67,9.89
375,5.48,42.63,4.62
3530,5.21,44.23,0.74
2635,3.5,66.87,9.77
1570,6.77,31.54,8.44
2560,7.59,68.26,1.78
3391,0.15,87.15,9.05
2965,2.07,23.75,3.41
3643,7.13,97.89,3.77
3850,3.87,38.64,9.06
872,6.62,26.73,5.3
1252,3.47,42.15,1.38
1314,3.91,9.44,3.69
4820,1.59,12.57,7.22
2898,2.58,41.44,1.74
77,6.05,76.24,5.9
2621,4.33,90.03,6.95
4227,7.74,66.48,3.44
600,8.53,10.52,6.94
1065,5.42,67.2,8.84
2136,7.58,63.54,4.72
2449,3.07,80.58,3.83
2343,4.15,82.52,2.51
1863,7.13,86.82,6.04
1318,3.86,41.41,8.8
4711,5.89,69.79,3.25
3597,1.85,26.83,3.96
3762,6.0,99.93,4.07
4670,8.62,17.53,5.61
2190,8.69,1.01,2.28
992,7.24,14.88,8.22
2712,7.46,77.59,2.96
2192,5.58,44.68,7.05
1248,5.85,44.75,5.13
3054,1.34,95.5,5.86
4598,4.44,91.96,1.8
4033,4.51,31.12,7.35
1997,9.58,20.91,1.89
4916,4.31,84.85,1.13
3687,5.49,90.6,5.47
2151,5.33,54.16,7.09
4018,6.37,62.94,0.5
3110,7.48,25.69,0.69
1970,2.25,80.08,8.03
197,5.29,63.21,8.09
2626,8.26,50.35,2.45
1202,4.63,6.01,6.15
2035,2.78,91.59,4.43
477,6.55,61.55,6.33
1254,8.24,19.27,8.63
922,0.63,60.64,0.8
419,7.77,67.75,7.78
2204,8.22,52.58,4.93
2597,4.62,71.81,5.64
1120,9.83,58.15,6.54
3068,7.87,94.78,9.23
950,7.74,5.37,0.57
2336,7.48,10.62,0.29
2243,1.51,17.37,1.78
2645,2.17,69.02,9.86
1857,4.64,64.56,7.15
4612,2.64,89.21,6.15
1865,4.15,73.29,0.47
2912,8.88,50.84,8.79
2853,8.24,99.18,8.13
4910,6.3,26.61,6.65
3228,8.58,83.32,3.39
3719,7.84,42.68,0.71
3228,4.29,64.87,5.8
2371,2.01,72.73,7.2
2891,5.14,63.38,0.94
3756,7.36,14.05,6.34
